precision,seq_len,head_dim,unfused_fw_ms,unfused_bw_ms,unfused_fwbw_ms,flash_fw_ms,flash_bw_ms,flash_fwbw_ms
bfloat16,128,16,0.060003273539042924,1.2438783995310465,2.1851713435594426,0.10089160531535425,0.6423133075237274,1.2707963081506581
bfloat16,128,32,0.26271722674369813,1.3371172999761192,2.1332035239149882,0.1039130849511189,1.3261524649227368,1.8172930576363389
bfloat16,128,64,0.260623891742862,1.2967360003353798,2.0954640101302755,0.09846202464230021,1.3443130444789277,1.8590837571085717
bfloat16,128,128,0.25163769091935767,1.2533162673314413,2.086296720938249,0.10426731061607857,1.3336757666924421,1.8039105254776624
bfloat16,256,16,0.22574177468257234,1.2348962365717129,2.050303988986545,0.09921304615787589,1.3111454160774456,1.2367070019245148
bfloat16,256,32,0.25329431577732686,1.265469538859832,2.160568575526393,0.10302840965968652,1.4240538206967441,2.029539550675286
bfloat16,256,64,0.29103654601591095,1.356857107235835,2.3474174401698966,0.10220913361669995,1.4534674277381292,2.0060657845603096
bfloat16,256,128,0.2648892257988018,1.3586151288105892,2.446910350750654,0.10312451570925693,1.4651024514628994,1.9871708393096923
bfloat16,512,16,0.25783291416508813,1.2978221160524033,2.070614957291147,0.10388799983263015,1.3371684551239014,1.8478230237960815
bfloat16,512,32,0.26896436357652986,1.255163729985555,2.0897192656993866,0.09943584732370067,1.3468804580824716,1.8378070179297
bfloat16,512,64,0.27032497263437993,1.3698776611915002,2.4190194606781006,0.10435657135196148,1.5023811195717482,1.892220528229423
bfloat16,512,128,0.2565335557899541,1.299192225933075,2.3598618623687,0.11803483118306952,1.6579039990901947,2.117778179320422
bfloat16,1024,16,0.43277179267671373,1.3170980286242358,2.154335231315799,0.13353922690789238,1.5428278753834386,2.078462524847551
bfloat16,1024,32,0.4268783523755915,1.3984075311352224,2.3692833812613237,0.14327693043314682,1.5330245474637565,2.084843155949615
bfloat16,1024,64,0.4348576245899487,1.4287689998745918,2.4618719816207886,0.16351503493457004,1.5859983960787456,2.1766006674085343
bfloat16,1024,128,0.4432023529182462,1.4015928960981823,2.415606737136841,0.2037177397263959,1.669569777117835,2.2516712129116057
bfloat16,2048,16,1.5658318557237323,3.1884358669149466,4.739393615722657,0.32758693720983423,1.7216550493240357,2.302618246812087
bfloat16,2048,32,1.5693771253552353,3.2077914599714608,4.760639977455139,0.41590326939310346,1.754482933453151,2.1603176176548002
bfloat16,2048,64,1.573007721649973,3.231749518164273,4.792326426506042,0.4969448307891945,1.8307009225196027,2.3519853063531824
bfloat16,2048,128,1.5849560666502567,3.320753140108926,4.889633730838173,0.6889354029962839,2.080601459199732,2.765060858293013
bfloat16,4096,16,5.977565944194794,12.179136037826538,18.14379539489746,1.2607157129636952,6.374457613627116,7.632861256599426
bfloat16,4096,32,5.997796058654785,12.232664108276367,18.21709442138672,1.6076300436990303,6.479028599602835,8.081221262613932
bfloat16,4096,64,6.016710042953491,12.34409591129848,18.353279495239256,1.8981211453068012,6.793430873325893,8.689102519642223
bfloat16,4096,128,6.058108061552048,12.56182861328125,18.600838470458985,2.8067666326250347,7.6194907029469805,10.466588550143772
bfloat16,8192,16,24.588128089904785,48.159278869628906,72.4549789428711,5.109023997658177,25.132405598958332,30.649834314982098
bfloat16,8192,32,24.646071910858154,48.348304748535156,72.7805404663086,6.2355477968851725,25.35633087158203,31.84282620747884
bfloat16,8192,64,25.154799938201904,48.59758377075195,73.09734344482422,7.476839322310227,26.608309427897137,33.59164810180664
bfloat16,8192,128,25.157311757405598,49.0743350982666,74.69049835205078,11.36241602897644,27.75946617126465,39.23481750488281
bfloat16,16384,16,,,,20.121055603027344,,
bfloat16,16384,32,98.73001861572266,193.34527587890625,,24.98732042312622,,
bfloat16,16384,64,97.87654113769531,194.64793395996094,,29.791179021199543,,
bfloat16,16384,128,99.6258544921875,197.65049743652344,,44.379568099975586,,
bfloat16,32768,16,,,,80.64288330078125,,
bfloat16,32768,32,,,,97.99699401855469,,
bfloat16,32768,64,,,,121.10182189941406,,
bfloat16,32768,128,,,,178.1682891845703,,
bfloat16,65536,16,,,,318.76678466796875,,
bfloat16,65536,32,,,,392.5057067871094,,
bfloat16,65536,64,,,,480.8740539550781,,
bfloat16,65536,128,,,,729.871337890625,,
float32,128,16,0.12804624557099073,1.0090208780474779,1.9911392756870814,0.009971630642939714,1.021754373560895,1.5772246789124051
float32,128,32,0.2716861150826618,1.2203425612205114,1.9877885139506797,0.019022045779674677,0.876564910506258,1.4389350184223109
float32,128,64,0.24340648986633467,1.2590205563774592,2.279883447147551,0.021326080049787248,0.8923044753546762,1.5665119927504967
float32,128,128,0.274780993193588,1.3489106678300433,2.272283878081884,0.025045542181296357,0.8745955204963685,1.4150288025538127
float32,256,16,0.24046611396958992,1.1968867972493171,1.9935213923454285,0.03313394335214219,0.9881832358382997,1.4827929419629715
float32,256,32,0.24955645580834981,1.3656283412660872,2.0213091479407415,0.10912445220772339,0.5628518832581384,1.1805699443494952
float32,256,64,0.237846076252717,1.3474727781807505,2.157009108122005,0.10644477288856977,1.206074595451355,1.8024344742298126
float32,256,128,0.3205613636577776,1.320887436329479,2.0786330149723935,0.10127143083319505,1.1099012668539838,1.588392007809419
float32,512,16,0.25831847111130973,1.2459191974205306,2.0963367305018683,0.1390225044582213,1.0454957297678744,1.3207200064378626
float32,512,32,0.24526792455394314,1.2444283091104948,2.043855637974209,0.10974074804746523,0.5795616757038028,1.493973042866955
float32,512,64,0.2549885563269446,1.2416425237530155,2.029885926972265,0.11810490381455821,1.1392782205416832,1.6473368891963251
float32,512,128,0.22317349636481584,1.308349808601484,2.197971048809233,0.14659911127370082,1.2373976057226008,1.7186751985549926
float32,1024,16,0.6867269578187362,1.4843579672150693,2.1509759928050793,0.15586366566807724,0.957938882112503,1.6995796082066554
float32,1024,32,0.6878924364803218,1.493195392317691,2.170453059045892,0.15552997564979892,1.257014441799808,1.8950844005662568
float32,1024,64,0.6970178134301129,1.5258077194816189,2.287836722838573,0.21144776316634714,1.2415665949092192,1.7806733068154783
float32,1024,128,0.7272900553931178,1.6145070617849178,2.486698368016411,0.34870590261510903,1.3840385885799633,1.882418378870538
float32,2048,16,2.5176441218401933,5.414972249199362,7.915037353833516,0.422813608214773,1.7032338708054786,2.191711972399456
float32,2048,32,2.5290542422114193,5.437473858104033,7.952880024909973,0.5344218366049431,1.8428520013888676,2.335986064030574
float32,2048,64,2.5416588203327075,5.514138361986945,8.043247938156128,0.7304809762083966,1.9382601820904275,2.6249345821492813
float32,2048,128,2.6512859616960798,5.769384026527405,8.41244818947532,1.1889459212621054,2.2566607892513275,3.40997371503285
float32,4096,16,9.848000144958496,21.083631992340088,30.90619723002116,1.6303628512791224,6.48463545526777,8.335624781521885
float32,4096,32,9.891007953219944,21.184335708618164,31.072213490804035,2.086770176887512,6.972514409285325,8.871505390514027
float32,4096,64,9.925105836656359,21.42089605331421,31.343210856119793,2.873917081139304,7.29427693440364,10.004416041904026
float32,4096,128,10.523541450500488,22.26913595199585,32.72773361206055,4.728670506250291,8.345719337463379,13.005096980503627
float32,8192,16,39.75283241271973,83.65977478027344,123.38301086425781,6.5207061767578125,25.77132797241211,34.00740178426107
float32,8192,32,39.76121520996094,83.81539154052734,123.6593246459961,8.2268216826699,27.388565063476562,34.084224700927734
float32,8192,64,40.038448333740234,84.2919692993164,124.34617614746094,11.235696077346802,28.260629653930664,40.00721549987793
float32,8192,128,40.30428886413574,85.16524505615234,125.4422378540039,18.53623046875,31.870047251383465,50.64972686767578
float32,16384,16,,,,25.345664342244465,107.29427337646484,134.1243896484375
float32,16384,32,,,,31.722805658976238,110.18057250976562,139.57408142089844
float32,16384,64,,,,46.33972930908203,110.53705596923828,158.65968322753906
float32,16384,128,,,,76.10844421386719,121.99750518798828,198.6505889892578
float32,32768,16,,,,106.69641876220703,,
float32,32768,32,,,,129.09779357910156,,
float32,32768,64,,,,185.614013671875,,
float32,32768,128,,,,303.4367980957031,,
float32,65536,16,,,,424.8763732910156,,
float32,65536,32,,,,513.1064453125,,
float32,65536,64,,,,756.2763671875,,
float32,65536,128,,,,1240.115234375,,
